Household,Neighbourhood,Village,GP,Local,template
0,0,1,0,0,"The local development project is described as ""Providing MWS Hanumegowdanapalya"". It is located in village Begur, of gram panchayat Begur in taluk Kunigal of district Tumakuru. The estimated cost of the work is Rs. 500000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""Providing piped water supply scheme to Gramadevathepura village in Malavalli taluk"". It is located in village Gramadevathepura, of gram panchayat Dhanagur in taluk Malvalli of district Mandya. The estimated cost of the work is Rs. 1200000.0. The current status of the work is described as ""Action Plan"" and has taken 1 years. This project is Unknown."
0,0,1,1,0,"The local development project is described as ""PROVIDING WATER SUPPLY SCHEME TO ANGANAWADI BUILDING AT BIJAGUPPI VILLAGE"". It is located in village Bijaguppi, of gram panchayat Tondikatti in taluk Ramdurg of district Belagavi. The estimated cost of the work is Rs. 25000.0. The current status of the work is described as ""Technical Approval"" and has taken 1 years. This project is Unknown."
0,0,1,1,0,"The local development project is described as ""Providing water supply to Savashettihalli Anganwadi in Muddenalli GP CN Halli taluk"". It is located in village Savashettihalli, of gram panchayat Muddenahalli in taluk Chiknayakanhalli of district Tumakuru. The estimated cost of the work is Rs. 11000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""construction of Cistern and Providing Pipeline From Agasi to Rachayya Mathpati Old Shop At Allolli Village"". It is located in village Alloli, of gram panchayat Alloli in taluk Chittapur of district Kalaburagi. The estimated cost of the work is Rs. 90000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""Bore well repair work done in Sunadholi gram"". It is located in village Sunadholi, of gram panchayat Sunadholi in taluk Mudalagi of district Belagavi. The estimated cost of the work is Rs. 35000.0. The current status of the work is described as ""Under Review"" and has taken 1 years. This project is Non-Tendered."
0,0,0,1,0,"The local development project is described as ""Supply of Name Board Improvements to Kotur-Kajagal and Haroguppa Road in Soundatti Taluka of Belgaum Dist"". It is located in village Kotur, of gram panchayat Koturshivapur in taluk Savadatti of district Belagavi. The estimated cost of the work is Rs. 12500.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,0,0,1,0,"The local development project is described as ""Sc/st kalony Sanitation"". It is located in village Bilkerur, of gram panchayat Bilkerur in taluk Bagalkot of district Bagalkote. The estimated cost of the work is Rs. 50000.0. The current status of the work is described as ""Technical Approval"" and has taken 1 years. This project is Non-Tendered."
0,0,0,1,0,"The local development project is described as ""providing of water supply scheme to school At Mannur village in Afzalpur Taluka"". It is located in village Mannur, of gram panchayat Mannur in taluk Afzalpur of district Kalaburagi. The estimated cost of the work is Rs. 150000.0. The current status of the work is described as ""Administrative Approval"" and has taken 1 years. This project is Unknown."
0,0,0,1,0,"The local development project is described as ""Distribution Of Giriraja Birds Under Animal Husbandry"". It is located in village Nellurkemraje, of gram panchayat Nelluru Kemraje in taluk Sulya of district Dakshina Kannada. The estimated cost of the work is Rs. 50000.0. The current status of the work is described as ""Action Plan"" and has taken 1 years. This project is Unknown."
