Household,Neighbourhood,Village,GP,Local,template
0,1,1,0,1,"The local development project is described as ""CONSTRUCTION OF WATER TANK NEAR IDAGA MAIDAN AT KAMALAPUR VILLAGE IN KALABURAGI TALUKA"". It is located in village Kamalapur, of gram panchayat Kamalapur in taluk Kamalapur of district Kalaburagi. The estimated cost of the work is Rs. 50000.0. The current status of the work is described as ""Under Review"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""TFC220217 Drilling Of 1 No Borewell in Ittigi village in Hadagali taluka"". It is located in village Ittigi, of gram panchayat Ittigi in taluk nan of district Ballari. The estimated cost of the work is Rs. nan. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""ADG240517 Sinking of Borewell Near Canal at Jettagi LT Village in Muddebihal Taluka of Vijayapur Dist."". It is located in village Jattagi, of gram panchayat Hullur in taluk Muddebihal of district Vijayapura. The estimated cost of the work is Rs. 120000.0. The current status of the work is described as ""Completion Of Work"" and has taken 1 years. This project is Non-Tendered."
0,0,0,1,0,"The local development project is described as ""TFC130315 Drilling of Bore well Near Urdu School at Umarani Village in Chikodi Taluka. (Saving Amount)"". It is located in village Umarani, of gram panchayat Umarni in taluk Chikkodi of district Belagavi. The estimated cost of the work is Rs. 70000.0. The current status of the work is described as ""Completion Of Work"" and has taken 1 years. This project is Non-Tendered."
1,0,1,0,1,"The local development project is described as ""Providing FHTC to 12 Households in Sheshagiri Camp Village in Gangavathi Taluka"". It is located in village Budagumpa, of gram panchayat Budugumpa in taluk Gangavati of district Koppal. The estimated cost of the work is Rs. 340000.0. The current status of the work is described as ""Measurement Stage"" and has taken 2 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""SINKING OF 165 MM DIA BORE WELL AT HEBBAL 2 VILLAGE NAVALAGUND TQ"". It is located in village Hebbal, of gram panchayat Hebbal in taluk Navalgund of district Dharwar. The estimated cost of the work is Rs. 79500.0. The current status of the work is described as ""Under Review"" and has taken 1 years. This project is Non-Tendered."
0,0,0,1,0,"The local development project is described as ""Imporment Road Form Agrahara Main Road to Hulemalali Road IN Holalkere Taluk"". It is located in village Agrahara, of gram panchayat Shivapura in taluk Holalkere of district Chitradurga. The estimated cost of the work is Rs. 121000.0. The current status of the work is described as ""Completion Of Work"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""PWS Scheme at Bannihatti Village"". It is located in village Bannihatti, of gram panchayat Bannihatti in taluk Byadgi of district Haveri. The estimated cost of the work is Rs. 1000000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Tendered."
0,0,1,0,0,"The local development project is described as ""Extensional of Pipeline and Drilling of Borewell for Medhini Village in T.Narasipura Taluk"". It is located in village Medini, of gram panchayat Holesalu in taluk Tirumakudala-Narsipur of district Mysuru. The estimated cost of the work is Rs. 238000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
0,0,1,0,0,"The local development project is described as ""Providing water supply scheme At Holkunda Village in Kalaburagi Taluka"". It is located in village Holakunda, of gram panchayat Holakunda in taluk Kalaburagi of district Kalaburagi. The estimated cost of the work is Rs. 100000.0. The current status of the work is described as ""Measurement Stage"" and has taken 1 years. This project is Non-Tendered."
